city,city_country,station_id,latitude,longitude,elevation,annual_avg_temp_c,annual_min_temp_c,annual_max_temp_c,annual_extreme_min_c,annual_extreme_max_c,annual_precip_mm,annual_avg_pres_hpa,annual_total_sun_h,annual_avg_daily_sun_h,avg_comfort_index,best_comfort_index,best_comfort_month,wet_month_count,cold_month_count,hot_month_count,years_of_data,data_coverage_pct
Trinidad,Cuba,MUSC0,22.5,-79.95,103,24.17,14.4,34.3,6.0,37.0,2289.3,1016.26,0.0,,9.13,10.0,2,16,0,0,14,100.0
Tromsø,Norway,01026,69.65,18.9333,103,3.61,-9.8,20.3,-18.3,30.1,15379.0,1008.12,17140.0,3.55,5.01,10.0,7,84,134,0,14,100.0
Trondheim,Norway,01257,63.4106,10.4539,127,5.68,-9.8,23.8,-17.1,30.2,2508.2,1010.13,0.0,,5.02,9.13,7,17,99,0,14,100.0
Tucson,United States,72274,32.1333,-110.95,805,21.94,2.3,42.4,-8.2,46.7,3927.0,1012.45,0.0,,7.95,10.0,10,83,2,53,14,100.0
Tulum,Mexico,76647,20.7,-88.2167,22,26.67,14.7,38.9,8.5,41.6,18893.0,1014.99,31177.0,7.71,9.35,10.0,2,84,0,46,14,100.0
Tunis,Tunisia,60715,36.8333,10.2333,3,20.18,6.4,39.5,0.8,49.0,6281.5,1016.5,40311.0,8.12,9.6,10.0,4,81,0,22,14,100.0
Turin,Italy,16061,45.0333,7.7333,709,12.32,-2.2,29.9,-9.0,35.0,10913.2,1016.24,29204.0,5.78,8.01,10.0,7,82,71,0,14,100.0
Tuscany,Italy,16170,43.8,11.2,40,15.85,-0.7,36.0,-7.0,41.0,1825.8,1015.82,2357.12,5.16,7.73,10.0,9,9,43,1,14,100.0
Ubud,Indonesia,97230,-8.75,115.1667,1,27.56,22.8,33.2,19.2,35.5,26945.0,1010.19,39826.0,7.84,9.4,10.0,3,84,0,44,14,100.0
Ulaanbaatar,Mongolia,44292,47.9167,106.8667,1307,0.55,-30.1,28.3,-37.0,38.3,4105.5,1022.33,41248.0,8.12,5.74,10.0,5,78,110,0,14,100.0
Uluru,Australia,94462,-25.2,131.0,493,22.67,1.0,42.4,-3.5,47.1,3123.6,1015.02,0.0,,8.27,9.87,4,70,0,10,14,21.6
Ushuaia,Argentina,87938,-54.8,-68.3167,16,6.06,-1.4,15.6,-6.5,26.5,5571.0,999.27,19625.0,3.89,6.21,8.38,11,81,157,0,14,100.0
Utrecht,Netherlands,06260,52.1,5.1833,2,10.88,-4.1,26.8,-18.9,37.5,12191.0,1015.37,25618.0,5.01,7.63,10.0,6,83,81,0,14,100.0
Valdivia,Chile,85766,-39.6167,-73.0833,19,11.26,2.1,28.0,-4.9,38.5,20465.0,1017.93,27612.0,5.48,7.6,10.0,1,83,72,0,14,99.4
Valencia,Spain,08285,39.4833,-0.3833,13,19.0,4.2,32.4,-0.4,44.5,6209.0,1016.99,30015.0,7.64,9.32,10.0,4,81,1,1,14,98.8
Valletta,Malta,16597,35.85,14.4833,91,19.72,7.5,35.2,2.1,42.7,6960.0,1016.23,40608.0,8.24,9.63,10.0,4,83,0,11,14,100.0
Valparaíso,Chile,85574,-33.3833,-70.7833,475,14.98,-0.2,33.2,-4.3,39.3,2025.0,1015.82,33230.0,8.55,8.86,10.0,1,74,34,0,14,100.0
Vancouver,Canada,71201,49.3,-123.12,2,11.48,-0.3,25.5,-10.2,33.8,19973.3,1016.79,0.0,,6.23,9.67,7,81,74,0,14,100.0
Vancouver Island,Canada,AHRPL,49.58,-125.61,354,8.69,,,-12.0,40.5,12328.9,,0.0,,5.0,9.75,8,30,36,0,6,100.0
Varanasi,India,42483,25.3,83.0167,88,25.79,9.8,41.7,5.4,44.9,3503.8,1008.07,0.0,,7.64,9.92,11,17,0,18,3,100.0
Venice,Italy,16105,45.5,12.3333,2,14.46,-2.1,30.8,-4.5,36.0,1419.7,1015.76,440.92,4.79,7.4,9.97,6,9,58,0,14,100.0
Verona,Italy,16090,45.3833,10.8667,67,14.32,-4.1,33.9,-8.0,38.1,4894.6,1015.87,956.03,4.52,7.19,10.0,6,32,60,0,14,100.0
Victoria,Seychelles,63980,-4.6667,55.5167,3,27.56,23.3,32.5,19.6,34.8,33172.0,1011.25,33996.0,6.98,9.14,10.0,5,84,0,44,14,100.0
Vienna,Austria,11035,48.25,16.3667,203,11.62,-5.1,30.2,-15.0,38.5,9313.0,1016.78,29238.0,5.71,7.71,10.0,6,81,76,0,14,100.0
Vientiane,Laos,48940,17.95,102.5667,171,27.16,15.4,38.0,8.0,56.0,21286.0,1008.1,30879.0,6.52,9.18,10.0,1,82,0,75,14,99.4
Vilamoura,Portugal,08554,37.0167,-7.9667,7,18.43,6.4,31.9,0.6,39.9,1541.5,1018.13,1106.0,9.15,8.58,10.0,6,19,0,0,14,100.0
Vilnius,Lithuania,26730,54.6333,25.1,162,7.67,-13.0,28.2,-25.0,34.3,9591.5,1015.51,25499.0,4.98,6.63,10.0,6,84,96,0,14,100.0
Viña del Mar,Chile,85574,-33.3833,-70.7833,475,14.98,-0.2,33.2,-4.3,39.3,2025.0,1015.82,33230.0,8.55,8.86,10.0,1,74,34,0,14,100.0
Vladivostok,Russia,31960,43.1167,131.9333,184,5.4,-18.2,25.6,-33.0,33.1,12813.0,1015.17,28297.0,5.68,6.24,10.0,6,82,98,0,14,100.0
Wadi Rum,Jordan,40199,29.55,34.95,12,26.3,9.2,42.6,5.4,48.9,385.0,1012.14,9257.0,9.48,8.37,10.0,1,65,0,78,14,100.0
Warsaw,Poland,12375,52.1667,20.9667,106,9.69,-11.1,29.7,-23.4,37.0,7987.0,1016.08,24128.0,5.46,7.04,10.0,6,81,87,0,14,100.0
Washington,United States,72405,38.85,-77.0333,5,15.62,-5.8,34.2,-14.9,40.6,15350.0,1017.57,0.0,,6.91,9.78,9,84,57,6,14,100.0
